Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,coords
642,Chicken,38,3/29/2025,365,Restaurant,West Robert,Non-Vegetarian,Dinner,"(18.7880711, -72.4940048)"
645,Soup,34,3/21/2025,643,Supermarket,North Ebony,Vegetarian,Breakfast,"(33.4624137, -111.686078)"
661,Bread,12,3/25/2025,906,Supermarket,West Kevin,Vegan,Dinner,"(53.2000721, 6.5104656)"
662,Soup,47,3/30/2025,498,Grocery Store,East Craig,Vegan,Snacks,"(55.7723582, -4.430123)"
667,Soup,30,3/21/2025,961,Restaurant,New Amanda,Vegetarian,Lunch,"(25.1714886, 121.4385003)"
671,Salad,49,3/24/2025,498,Grocery Store,East Craig,Vegetarian,Breakfast,"(55.7723582, -4.430123)"
672,Bread,2,3/24/2025,555,Grocery Store,South Brenda,Vegetarian,Snacks,"(34.8530813, -89.7479971)"
674,Vegetables,34,3/17/2025,518,Grocery Store,Anneville,Vegetarian,Lunch,"(51.5438848, 4.822062)"
675,Soup,25,3/26/2025,117,Restaurant,Amberton,Vegan,Dinner,"(47.562129, -122.1200653)"
676,Soup,15,3/23/2025,577,Catering Service,Lake Donna,Non-Vegetarian,Dinner,"(55.1783763, -162.7084169)"
678,Pasta,8,3/24/2025,177,Supermarket,South Nicholasville,Vegetarian,Snacks,"(37.8573466, -84.5823257)"
682,Pasta,30,3/25/2025,87,Grocery Store,West Adam,Vegetarian,Snacks,"(48.6959723, 21.2373318)"
687,Pasta,5,3/29/2025,326,Supermarket,Lake Alicia,Vegan,Lunch,"(28.7222681, -81.8673844)"
688,Salad,6,3/22/2025,536,Restaurant,South Donald,Vegan,Snacks,"(45.2313534, -90.8953162)"
689,Pasta,34,3/21/2025,350,Restaurant,Port Dustin,Vegetarian,Breakfast,"(27.2214512, -80.3586697)"
693,Chicken,6,3/24/2025,563,Grocery Store,East Angela,Vegetarian,Dinner,"(51.5423838, 0.027966)"
695,Fruits,17,3/23/2025,176,Restaurant,East John,Vegetarian,Breakfast,"(6.2364146, -57.3290261)"
697,Chicken,42,3/21/2025,817,Restaurant,Walterton,Vegan,Breakfast,"(52.8491597, 1.2021271)"
698,Rice,16,3/22/2025,872,Supermarket,Ramosville,Non-Vegetarian,Lunch,"(26.1284093, -98.0052817)"
699,Salad,32,3/16/2025,777,Catering Service,Wilsonview,Non-Vegetarian,Dinner,"(43.5224205, -80.238402)"
701,Salad,33,3/19/2025,192,Catering Service,Leslieville,Vegetarian,Lunch,"(43.6627, -79.3328148)"
704,Chicken,43,3/27/2025,518,Grocery Store,Anneville,Non-Vegetarian,Lunch,"(51.5438848, 4.822062)"
707,Soup,29,3/22/2025,625,Grocery Store,East Lisa,Vegetarian,Dinner,"(34.2367636, -118.4581872)"
713,Fish,7,3/26/2025,108,Supermarket,East Austin,Vegan,Snacks,"(30.2745499, -97.7164851)"
717,Salad,40,3/16/2025,108,Supermarket,East Austin,Non-Vegetarian,Breakfast,"(30.2745499, -97.7164851)"
718,Vegetables,45,3/28/2025,801,Catering Service,North Joseph,Non-Vegetarian,Dinner,"(38.8047764, -87.4584562)"
719,Pasta,44,3/20/2025,701,Restaurant,Browntown,Vegan,Snacks,"(42.5774294, -89.7942565)"
722,Soup,43,3/26/2025,306,Catering Service,North Keith,Vegetarian,Dinner,"(48.0933353, -98.7526139)"
723,Pasta,2,3/25/2025,762,Restaurant,West Lucasville,Vegetarian,Breakfast,"(38.8767438, -83.0042476)"
725,Soup,47,3/30/2025,846,Supermarket,South Thomasville,Vegetarian,Breakfast,"(33.7018563, -84.3695354)"
726,Soup,27,3/22/2025,719,Restaurant,East Cynthia,Vegetarian,Breakfast,"(51.0915402, 3.9647083)"
727,Chicken,3,3/18/2025,285,Restaurant,West Corey,Vegetarian,Lunch,"(42.2961246, -71.1670342)"
728,Dairy,28,3/28/2025,265,Catering Service,New Douglas,Vegetarian,Dinner,"(38.9700463, -89.6664793)"
729,Rice,42,3/30/2025,253,Catering Service,Sharonton,Vegan,Lunch,"(43.5400238, -79.7027246)"
731,Fruits,42,3/30/2025,324,Grocery Store,East Elizabeth,Vegetarian,Snacks,"(40.2750699, -79.8908818)"
732,Soup,29,3/18/2025,734,Catering Service,Port Anita,Vegan,Dinner,"(39.8409966, 3.1372986)"
733,Pasta,31,3/26/2025,736,Supermarket,East Anthony,Vegetarian,Snacks,"(48.691343, 6.1837535)"
734,Vegetables,5,3/27/2025,125,Supermarket,Lake April,Non-Vegetarian,Lunch,"(42.2319052, -87.9687897)"
737,Fish,3,3/16/2025,930,Restaurant,Kellytown,Non-Vegetarian,Snacks,"(34.2479254, -80.733972)"
738,Fruits,5,3/24/2025,793,Grocery Store,West Brandon,Vegan,Snacks,"(38.9381565, -92.3401292)"
742,Dairy,3,3/30/2025,483,Catering Service,Millerview,Vegetarian,Breakfast,"(29.8584534, -95.4063871)"
744,Fish,13,3/17/2025,456,Grocery Store,North Katelyn,Non-Vegetarian,Snacks,"(35.3518593, -80.7767359)"
745,Fruits,34,3/18/2025,961,Restaurant,New Amanda,Vegan,Breakfast,"(25.1714886, 121.4385003)"
746,Bread,31,3/30/2025,293,Catering Service,Joneshaven,Non-Vegetarian,Lunch,"(35.5672816, -78.7959659)"
752,Soup,12,3/17/2025,460,Grocery Store,Lake Justin,Vegan,Breakfast,"(41.677029, -81.3552256)"
753,Fruits,19,3/24/2025,182,Grocery Store,Port Jeffrey,Vegetarian,Breakfast,"(43.1466913, 5.7075518)"
754,Dairy,37,3/30/2025,986,Supermarket,Port David,Non-Vegetarian,Dinner,"(47.8054009, 1.7085002)"
758,Rice,4,3/26/2025,989,Grocery Store,North Lauren,Non-Vegetarian,Dinner,"(35.2640382, -82.969807)"
763,Fish,33,3/17/2025,846,Supermarket,South Thomasville,Vegan,Snacks,"(33.7018563, -84.3695354)"
769,Chicken,27,3/25/2025,483,Catering Service,Millerview,Vegetarian,Lunch,"(29.8584534, -95.4063871)"
770,Dairy,30,3/30/2025,770,Supermarket,East Melissa,Non-Vegetarian,Lunch,"(1.3176717, 103.8931013)"
777,Fruits,5,3/18/2025,709,Restaurant,South Kathryn,Vegetarian,Dinner,"(42.2813334, -82.9101686)"
778,Dairy,7,3/21/2025,57,Grocery Store,Port Robin,Non-Vegetarian,Snacks,"(18.5639033, -72.3146324)"
782,Rice,49,3/28/2025,566,Catering Service,New Rachel,Non-Vegetarian,Snacks,"(40.7495829, -73.8227785)"
784,Bread,1,3/26/2025,335,Grocery Store,North Gary,Non-Vegetarian,Dinner,"(41.61033, -87.3912712)"
785,Bread,10,3/16/2025,678,Grocery Store,Lake Travis,Non-Vegetarian,Lunch,"(30.4645913, -98.0783472)"
787,Fish,48,3/24/2025,355,Restaurant,Port Patrick,Vegetarian,Dinner,"(-20.1375476, 169.8301294)"
796,Pasta,8,3/27/2025,798,Grocery Store,North Amanda,Vegetarian,Lunch,"(7.6899082, -1.4771864)"
798,Fish,3,3/30/2025,413,Catering Service,North Mike,Vegetarian,Lunch,"(47.8485536, 21.4378469)"
803,Chicken,13,3/27/2025,714,Catering Service,North William,Vegan,Snacks,"(35.8199184, -81.1879054)"
807,Salad,35,3/19/2025,474,Catering Service,South Nicole,Vegetarian,Dinner,"(3.9536859, 9.2613109)"
810,Bread,34,3/16/2025,993,Restaurant,East Stephanie,Vegan,Snacks,"(53.3361257, -1.9480654)"
811,Salad,19,3/27/2025,513,Catering Service,West Larry,Non-Vegetarian,Dinner,"(52.3669596, 4.8715961)"
813,Fish,33,3/23/2025,610,Supermarket,Allenton,Vegetarian,Breakfast,"(43.4210536, -88.3408655)"
816,Fruits,2,3/17/2025,965,Restaurant,Port Bryce,Vegetarian,Lunch,"(29.9188705, -93.9501555)"
820,Fruits,46,3/27/2025,753,Supermarket,South Randy,Non-Vegetarian,Lunch,"(41.2391253, -73.0488778)"
823,Chicken,27,3/21/2025,587,Restaurant,Lake George,Vegan,Lunch,"(43.425996, -73.712425)"
824,Bread,12,3/27/2025,993,Restaurant,East Stephanie,Vegetarian,Dinner,"(53.3361257, -1.9480654)"
829,Dairy,44,3/18/2025,262,Supermarket,New Carol,Vegan,Dinner,"(42.6975023, -82.7436883)"
831,Pasta,24,3/22/2025,330,Restaurant,Jamesport,Non-Vegetarian,Breakfast,"(40.9526865, -72.5796261)"
838,Bread,38,3/29/2025,770,Supermarket,East Melissa,Vegetarian,Lunch,"(1.3176717, 103.8931013)"
842,Bread,40,3/21/2025,205,Grocery Store,Carlbury,Vegan,Breakfast,"(54.5381657, -1.6739109)"
844,Fish,46,3/29/2025,495,Supermarket,Brownshire,Non-Vegetarian,Dinner,"(36.7585816, -76.0256237)"
845,Bread,14,3/20/2025,718,Restaurant,Port Victoria,Non-Vegetarian,Dinner,"(-4.6232085, 55.452359)"
846,Salad,34,3/19/2025,894,Restaurant,Cannonside,Vegan,Snacks,"(38.2406946, -85.6632025)"
849,Pasta,29,3/21/2025,563,Grocery Store,East Angela,Vegan,Breakfast,"(51.5423838, 0.027966)"
850,Dairy,22,3/26/2025,67,Restaurant,Kentland,Vegan,Breakfast,"(40.7702991, -87.4453445)"
853,Rice,18,3/27/2025,841,Restaurant,Lake Tamara,Vegan,Snacks,"(42.3660797, -87.8475971)"
854,Fish,33,3/22/2025,804,Restaurant,North Ashley,Vegan,Breakfast,"(46.034141, -99.371503)"
858,Fruits,13,3/22/2025,413,Catering Service,North Mike,Non-Vegetarian,Snacks,"(47.8485536, 21.4378469)"
863,Fruits,30,3/20/2025,57,Grocery Store,Port Robin,Vegan,Breakfast,"(18.5639033, -72.3146324)"
865,Fish,25,3/20/2025,837,Supermarket,South Charles,Non-Vegetarian,Snacks,"(34.7780488, -91.5860802)"
871,Chicken,7,3/16/2025,875,Grocery Store,South William,Non-Vegetarian,Lunch,"(31.60348, -94.65635)"
876,Salad,38,3/20/2025,78,Restaurant,North Susan,Vegan,Snacks,"(5.8990186, -2.9368338)"
878,Rice,23,3/29/2025,17,Catering Service,West Dawn,Non-Vegetarian,Snacks,"(-33.8555955, 18.5184991)"
887,Soup,12,3/21/2025,825,Supermarket,South Bryan,Vegetarian,Lunch,"(33.1382085, -100.2321388)"
891,Chicken,9,3/18/2025,539,Restaurant,Watsonton,Vegetarian,Lunch,"(17.8119814, -77.2375025)"
895,Pasta,38,3/29/2025,888,Supermarket,West Sharonview,Vegan,Snacks,"(34.8445468, -82.4046597)"
898,Fish,28,3/27/2025,87,Grocery Store,West Adam,Non-Vegetarian,Breakfast,"(48.6959723, 21.2373318)"
901,Vegetables,38,3/26/2025,183,Grocery Store,South Anne,Vegetarian,Dinner,"(18.306359, -74.2200406)"
903,Rice,25,3/30/2025,452,Supermarket,New Erica,Vegetarian,Breakfast,"(52.7118687, 6.9261421)"
904,Chicken,40,3/22/2025,709,Restaurant,South Kathryn,Vegetarian,Breakfast,"(42.2813334, -82.9101686)"
905,Bread,37,3/25/2025,2,Grocery Store,East Sheena,Vegan,Dinner,"(10.6851592, 122.5365417)"
909,Fish,10,3/28/2025,831,Catering Service,Lewishaven,Vegan,Snacks,"(37.0173205, -76.4023212)"
911,Fish,5,3/21/2025,124,Supermarket,Lake Shelby,Vegetarian,Dinner,"(38.2321742, -85.2191491)"
915,Vegetables,35,3/22/2025,198,Restaurant,Port Karen,Non-Vegetarian,Snacks,"(-17.7057782, 168.3061023)"
917,Soup,15,3/28/2025,393,Restaurant,Heatherview,Vegan,Dinner,"(39.5084344, -77.4360968)"
931,Vegetables,49,3/23/2025,139,Supermarket,Port Connie,Vegan,Snacks,"(27.0676294, -82.0974756)"
933,Dairy,17,3/30/2025,478,Catering Service,Lake Regina,Non-Vegetarian,Lunch,"(37.2286012, 140.0580751)"
936,Chicken,32,3/30/2025,381,Supermarket,Martinville,Non-Vegetarian,Breakfast,"(45.278269, -71.714287)"
941,Fish,1,3/16/2025,745,Grocery Store,East Lisa,Vegan,Lunch,"(34.2367636, -118.4581872)"
943,Bread,13,3/19/2025,413,Catering Service,North Mike,Vegan,Lunch,"(47.8485536, 21.4378469)"
947,Bread,29,3/19/2025,176,Restaurant,East John,Vegetarian,Breakfast,"(6.2364146, -57.3290261)"
951,Vegetables,20,3/16/2025,118,Supermarket,Lake Joseph,Vegan,Lunch,"(45.1799923, -79.7324393)"
954,Rice,36,3/25/2025,780,Catering Service,North Caitlin,Vegan,Lunch,"(35.7522998, -78.9008066)"
955,Soup,26,3/26/2025,276,Supermarket,Port Eric,Non-Vegetarian,Snacks,"(10.6487507, -61.5123717)"
958,Soup,19,3/20/2025,794,Supermarket,Woodport,Vegetarian,Lunch,"(40.9853758, -74.6104379)"
959,Pasta,26,3/18/2025,758,Catering Service,Port Patrick,Vegan,Breakfast,"(-20.1375476, 169.8301294)"
963,Fish,33,3/16/2025,827,Grocery Store,East Kimberly,Vegan,Dinner,"(37.0322636, -93.1996833)"
964,Rice,46,3/25/2025,192,Catering Service,Leslieville,Vegan,Dinner,"(43.6627, -79.3328148)"
965,Dairy,44,3/24/2025,791,Grocery Store,West James,Vegetarian,Lunch,"(5.6970517, -0.8552995)"
966,Dairy,41,3/25/2025,705,Grocery Store,East Robert,Vegan,Snacks,"(51.8011319, -8.1846986)"
968,Rice,45,3/17/2025,789,Grocery Store,Lake Maria,Non-Vegetarian,Lunch,"(28.6798931, -81.2614361)"
974,Chicken,45,3/17/2025,393,Restaurant,Heatherview,Non-Vegetarian,Lunch,"(39.5084344, -77.4360968)"
976,Vegetables,41,3/19/2025,738,Grocery Store,West Kelli,Non-Vegetarian,Lunch,"(59.5096355, 26.4216634)"
978,Dairy,14,3/27/2025,743,Supermarket,South Richard,Vegetarian,Snacks,"(30.4002304, -92.217445)"
980,Chicken,2,3/27/2025,876,Grocery Store,Brookeland,Vegan,Dinner,"(31.1526918, -93.9935221)"
984,Chicken,26,3/23/2025,234,Catering Service,New Joel,Non-Vegetarian,Dinner,"(41.3420393, -74.1679241)"
987,Dairy,6,3/29/2025,557,Restaurant,East Aaron,Vegetarian,Dinner,"(55.1828897, -1.5686175)"
988,Soup,44,3/24/2025,517,Grocery Store,Wadeville,Vegan,Lunch,"(39.1506329, -81.6356828)"
989,Bread,31,3/19/2025,557,Restaurant,East Aaron,Non-Vegetarian,Snacks,"(55.1828897, -1.5686175)"
994,Salad,17,3/29/2025,37,Catering Service,New Amanda,Non-Vegetarian,Snacks,"(25.1714886, 121.4385003)"
998,Fruits,6,3/22/2025,444,Restaurant,New Billy,Non-Vegetarian,Dinner,"(50.5559508, -116.0802828)"
1000,Salad,18,3/19/2025,155,Supermarket,Charlesview,Non-Vegetarian,Dinner,"(42.3484469, -71.0965492)"
